participant_id,task_id,image_id,satisfied_round,sketch_action_count,sketch_action_counts,auto_prompt_count,selected_auto_prompt_id,selected_auto_prompt_method,selected_auto_prompt,selected_user_prompt_after,selected_copy_ratio,final_text,final_text_source,interpret_event_count
P001,T2_middle_E05,E05,3,61,"{""add"": 2, ""camera_move"": 7, ""camera_rotate"": 8, ""change_distance"": 8, ""move"": 24, ""rotate"": 12}",1,ap_P001_0368,linked_to_last_successful_generation,将人物E移到人物A的右前方，并缩短他们之间的距离；让人物D处在另外两个人之间，前后层次更清楚；摄影机在较低的位置、大致正面，离场景较远，从侧后方观察。,四个人围着一团篝火在聊天，最左边的男的抽烟，第二男的在摘有线耳机，第三个女生在大笑，第四个男的很冷漠的注视镜头。,0,四个人围着一团篝火在聊天，最左边的男的抽烟，第二男的在摘有线耳机，第三个女生在大笑，第四个男的很冷漠的注视镜头。,tasks.csv:final_text,1
P001,T2_middle_A04,A04,2,18,"{""camera_move"": 1, ""camera_rotate"": 1, ""move"": 8, ""move_object"": 8}",2,ap_P001_0487,latest_prompt_at_or_before_satisfied_round,将人物B移到人物A的右前方，并保持人物之间的间距；让人物B更靠近画面前方；摄影机在接近视线高度、偏左，保持适中距离，朝向场景观察；把列车放在画面中部。,两个人扭打在一起,0,两个人扭打在一起,tasks.csv:final_text,2
P004,T2_middle_D05,D05,1,67,"{""camera_move"": 4, ""move"": 18, ""move_object"": 15, ""resize"": 30}",9,ap_P004_0426,latest_prompt_legacy_round_mismatch,将人物C移到人物A的右前方，并明显拉开他们之间的距离；让人物B处在另外两个人之间，前后层次更清楚；让人物C更靠近画面前方；人物B看向人物A；摄影机在接近视线高度、偏左，保持适中距离，从侧后方观察；把餐桌放在画面左侧。,画面中只有两个人物，主要道具是镜子,0,画面中只有两个人物，主要道具是镜子,tasks.csv:final_text,0
P004,T2_middle_D02,D02,1,56,"{""add"": 4, ""delete"": 2, ""move"": 4, ""move_object"": 4, ""resize"": 42}",1,ap_P004_0654,latest_prompt_legacy_round_mismatch,将人物B移到人物A的右侧，并保持人物之间的间距；让人物C处在另外两个人之间，前后层次更清楚；摄影机在较低的位置、偏左，保持适中距离，从侧后方观察；把object放在画面左侧。,画面中有两个人物，一左一右分别占据画面两边，中景，只露出人物的胸腔以上，中间是一面镜子，镜子中反射出第三个人物，两个左右两边主要的人物正在向右边看去,0,画面中有两个人物，一左一右分别占据画面两边，中景，只露出人物的胸腔以上，中间是一面镜子，镜子中反射出第三个人物，两个左右两边主要的人物正在向右边看去,tasks.csv:final_text,0
P009,T2_middle_C04,C04,3,86,"{""add"": 5, ""change_direction"": 2, ""change_distance"": 12, ""change_gaze"": 1, ""change_layer"": 6, ""move"": 28, ""move_object"": 10, ""resize"": 21, ""rotate"": 1}",1,ap_oclock_0440,latest_prompt_at_or_before_satisfied_round,将人物D移到人物A的右前方，并明显拉开他们之间的距离；让人物B处在另外两个人之间，前后层次更清楚；让人物A、人物B、人物C、人物D、人物E更靠近画面前方；人物A看向人物A；摄影机在较低的位置、偏左，靠近场景，从侧后方观察；把object放在画面左侧。,两个人站在甲板上，看向远方，镜头拉远，让两个女孩靠近画面前方；摄影机在较低的位置、偏左，靠近场景，从侧后方观察；把海鸥放在画面左侧。,0,两个人站在甲板上，看向远方的大海，只留下背影，镜头拉远，让两个女孩靠近画面前方；摄影机在较低的位置、偏左，靠近场景，从侧后方观察；把海鸥放在画面左侧，并在远处增加几只飞行的海鸥。,tasks.csv:final_text,1
P009,T2_middle_A05,A05,3,78,"{""add"": 4, ""camera_move"": 10, ""camera_rotate"": 4, ""change_distance"": 30, ""change_gaze"": 3, ""move"": 16, ""move_object"": 8, ""resize"": 3}",3,ap_oclock_0730,latest_prompt_at_or_before_satisfied_round,将人物B移到人物A的正前方，并明显拉开他们之间的距离；人物B看向人物A；摄影机在接近视线高度、偏左，保持适中距离，朝向场景观察；把长椅放在画面中部。,"将男生移到女生的正前方，并明显拉开他们之间的距离,男生到餐桌另一侧，背对镜头，到吧台拿筷子,摄影机在接近视线高度、偏左，保持适中距离，朝向场景观察；把长椅放在画面中部。",0.5952380952380952,将男生移到女生右后方，并明显拉开他们之间的距离；让男生更靠近画面前方；让女生看向男生，摄影机在接近视线高度、大致正面，保持适中距离，朝向场景观察；把长椅放在画面中部。男生背对在吧台拿筷子,tasks.csv:final_text,3
P010,T2_middle_D06,D06,3,40,"{""add"": 1, ""change_direction"": 4, ""change_distance"": 5, ""delete"": 3, ""move"": 11, ""move_object"": 6, ""resize"": 7, ""rotate"": 3}",3,ap_P001_0262,latest_prompt_at_or_before_satisfied_round,将人物B移到人物A的右后方，并明显拉开他们之间的距离；让人物A更靠近画面前方；摄影机在较低的位置、偏左，保持适中距离，从侧后方观察；把玻璃放在画面中部。,在繁华的街道十字路口，女生在前面生气过马路，向马路对面巨大的广告屏走去，男生在后面追她，两人之间有一段距离,0,在繁华的街道十字路口，女生在前面生气过马路，向马路对面巨大的广告屏走去，男生在后面追她，两人之间有一段距离，男生靠近镜头和观众，女生则较远，两人保持直线关系,tasks.csv:final_text,3
P010,T2_middle_E01,E01,2,1,"{""move"": 1}",3,ap_P001_0389,linked_to_last_successful_generation,让人物A更靠近画面前方；摄影机在较低的位置、偏左，保持适中距离，从侧后方观察；把空舞台放在画面中部。,主角独自一人在空舞台上练习舞蹈,0,主角独自一人在空舞台上练习舞蹈,tasks.csv:final_text,3
P011,T2_middle_C04,C04,3,91,"{""add"": 5, ""camera_move"": 4, ""change_distance"": 17, ""change_gaze"": 11, ""change_layer"": 9, ""delete"": 5, ""move"": 19, ""move_object"": 2, ""resize"": 6, ""rotate"": 13}",3,ap_P001_0608,linked_to_last_successful_generation,将人物C移到人物A的右前方，并缩短他们之间的距离；让人物C更靠近画面前方；人物A看向人物A；摄影机在较低的位置、偏左，保持适中距离，从侧后方观察；把object放在画面左侧。,请你生成一张 近景，一男一女在一个邮轮的甲板上站着靠近栏杆，男生在女生的后面，低头看向大海，女生看向镜头眼睛闭着,0,请你生成一张 近景，一男一女在一个邮轮的甲板上站着靠近栏杆，男生在女生的后面，低头看向大海，女生看向镜头眼睛闭着,tasks.csv:final_text,3
P011,T2_middle_D02,D02,3,24,"{""add"": 4, ""camera_move"": 4, ""change_gaze"": 4, ""move"": 9, ""move_object"": 3}",7,ap_P001_0827,latest_prompt_at_or_before_satisfied_round,将人物C移到人物A的右侧，并保持人物之间的间距；让人物B处在另外两个人之间，前后层次更清楚；人物A看向人物A；摄影机在较低的位置、大致正面，保持适中距离，从侧后方观察；把半开的门放在画面右侧。,整个画面的背景是一个这个房间的墙，镜子在画面的左侧，镜子中能照到三个人，门在镜子的正对面，三个人站在房间的中间聊天，摄影机在较低的位置、大致正面，保持适中距离，从侧后方观察,0.32558139534883723,整个画面的背景是一个这个房间的墙，镜子在画面的左侧，镜子中能照到三个人，门在镜子的正对面，画面中是看不到门的，三个人站在房间的中间聊天，摄影机在较低的位置、大致正面，保持适中距离，从侧后方观察,tasks.csv:final_text,7
