participant_id,task_id,primary_pattern,adds_detail,removes_detail,changes_relation_or_action,camera_language_retained,minimal_sketch_trace,evidence_note,confidence
P001,T2_middle_E05,substantive_rewriting,1,1,1,0,0,"Auto“人物D处在另外两个人之间”；final“四个人围着一团篝火…抽烟…大笑”",high
P001,T2_middle_A04,substantive_rewriting,1,1,1,0,0,"Auto“人物B…右前方…列车”；final“两个人扭打在一起”",high
P004,T2_middle_D05,corrective_rewriting,1,1,1,0,0,"Auto以人物A/B/C及“餐桌”构图；final明确“只有两个人物…镜子”",high
P004,T2_middle_D02,substantive_rewriting,1,1,1,0,0,"Auto“人物C处在另外两个人之间”；final“两个人物…一左一右…镜子中反射出第三个人物”",high
P009,T2_middle_C04,selective_revision,1,1,1,1,0,"Auto“较低…偏左，靠近场景，从侧后方…object…左侧”；final保留该机位并改为“海鸥…增加几只”",high
P009,T2_middle_A05,corrective_rewriting,1,1,1,1,0,"Auto“男生…正前方”“人物B看向人物A”；final“男生…右后方”“女生看向男生”",high
P010,T2_middle_D06,substantive_rewriting,1,1,1,0,0,"Auto“人物B…右后方…玻璃”；final“女生…过马路…男生在后面追她”",high
P010,T2_middle_E01,selective_revision,1,1,1,0,1,"Auto“人物A…空舞台”；final“主角独自一人在空舞台上练习舞蹈”",high
P011,T2_middle_C04,substantive_rewriting,1,1,1,0,0,"Auto“人物C…右前方…object”；final“近景，一男一女…邮轮的甲板…男生在女生的后面”",high
P011,T2_middle_D02,substantive_rewriting,1,1,1,1,0,"Auto“半开的门…右侧”及低位正面侧后机位；final改写镜子、门与交谈场景但逐字保留机位",high
P013,T2_middle_D05,substantive_rewriting,1,1,0,0,0,"Auto为三人关系、机位及“餐桌”；final仅“人物A需要露出外貌”",high
P013,T2_middle_C03,substantive_rewriting,1,1,1,0,1,"Auto“人物A看向人物B”及低位侧后机位；final“人物B…看向A…镜头聚焦到人物B”",medium
P014,T2_middle_D03,substantive_rewriting,1,1,0,0,0,"Auto为人物位置、机位及“门”；final仅“儿子娇羞可爱父亲风韵犹存”",high
P014,T2_middle_D06,substantive_rewriting,1,1,1,0,0,"Auto“人物B…右后方…玻璃”；final“帅哥冲进来和男主角亲嘴”",high
P016,T2_middle_A04,substantive_rewriting,1,1,1,0,1,"Auto为两人位置、机位及“列车”；final“两个人在互相泼水，波及…第三人”",high
P016,T2_middle_E03,substantive_rewriting,1,1,1,0,1,"Auto为两人关系、机位及“书架”；final“画面都是台阶…站着形色各异的人”",high
P023,T2_middle_C02,substantive_rewriting,1,1,1,0,0,"Auto为三人层次、凝视及低位侧后机位；final“面对面交谈…镜头逐渐靠近女性”",high
P023,T2_middle_A04,substantive_rewriting,1,1,1,0,0,"Auto为两人位置、机位及“列车”；final“在室内！保留窗框的前景”",high
P024,T2_middle_E04,substantive_rewriting,1,1,1,0,1,"Auto“两人…右前方…长椅”及适中距离；final“一人躺在旧沙发…朋友走到了大门口”并改为远距",high
P024,T2_middle_A05,substantive_rewriting,1,1,1,0,0,"Auto“人物B…右侧…看向人物A”及适中侧后机位；final“两个人坐在长桌一侧…远景切换到女性侧脸”",high
