item_id,participant_id,task_id,stage,comment
I002,P013,T3_transfer_D04,T3,只说“交流”，下一镜行为无法落成画面。
I019,P016,T3_transfer_D06,T3,仅有人数，没有下一镜事件或构图。
I028,P018,T1_early_C03,T1,全是防穿模与保脸约束，没有下一镜行为。
I040,P020,T1_early_D02,T1,单词“吵架”，无法形成可执行镜头计划。
I049,P013,T3_transfer_E03,T3,关键角色未指认，镜头变化也不具体。
I050,P017,T3_transfer_D06,T3,明星入场缺少方位、动作与机位。
I056,P007,T1_middle_E01,T1,谁、在何处穿衣睡觉均不明。
I092,P013,T2_middle_D05,T2,只要求露出外貌，没有下一镜行为。
I099,P014,T2_middle_D03,T2,人物形容词，不是镜头描述。
I109,P020,T2_middle_E01,T2,道具姿态罗列，主体与动作关系不清。
I116,P004,T2_middle_D05,T2,人数与道具提示，缺少下一镜事件。
