participant_id,task_id,primary_pattern,adds_detail,removes_detail,changes_relation_or_action,camera_language_retained,minimal_sketch_trace,evidence_note,confidence
P001,T2_middle_E05,substantive_rewriting,1,1,1,0,0,"Auto「人物D处在另外两个人之间」；final「四个人围着一团篝火…抽烟…大笑」",high
P001,T2_middle_A04,substantive_rewriting,1,1,1,0,0,"Auto「人物B移到人物A的右前方…把列车放在画面中部」；final「两个人扭打在一起」",high
P004,T2_middle_D05,corrective_rewriting,1,1,1,0,0,"Auto「人物B处在另外两个人之间…把餐桌放在画面左侧」；final「只有两个人物，主要道具是镜子」",high
P004,T2_middle_D02,corrective_rewriting,1,1,1,0,0,"Auto「人物C处在另外两个人之间…把object放在画面左侧」；final「两个人物…镜子中反射出第三个人物」",high
P009,T2_middle_C04,selective_revision,1,1,1,1,0,"Auto「更靠近画面前方…摄影机在较低的位置、偏左…object放在画面左侧」；final保留这些构图并改为「两个女孩…海鸥」",high
P009,T2_middle_A05,corrective_rewriting,1,0,1,1,0,"Auto「男生…正前方」「人物B看向人物A」；final「男生…右后方」「女生看向男生」",high
P010,T2_middle_D06,substantive_rewriting,1,1,1,0,0,"Auto「人物B…右后方…把玻璃放在画面中部」；final「女生…过马路…男生在后面追她」",high
P010,T2_middle_E01,substantive_rewriting,1,1,1,0,1,"Auto「人物A更靠近画面前方…空舞台放在画面中部」；final「主角独自一人在空舞台上练习舞蹈」",high
P011,T2_middle_C04,substantive_rewriting,1,1,1,0,0,"Auto「人物C移到人物A的右前方…人物A看向人物A」；final「男生在女生的后面…低头看向大海」",high
P011,T2_middle_D02,substantive_rewriting,1,1,1,1,0,"Auto「人物B处在另外两个人之间…半开的门放在画面右侧」；final「镜子中能照到三个人…门…画面中是看不到门的」并保留摄影机句",high
P013,T2_middle_D05,substantive_rewriting,1,1,1,0,0,"Auto「人物C…右后方…人物B看向人物A」；final「人物A需要露出外貌」",high
P013,T2_middle_C03,corrective_rewriting,1,1,1,0,1,"Auto「人物A看向人物B」；final「人物B把头扭过来看向A…镜头聚焦到人物B」",high
P014,T2_middle_D03,substantive_rewriting,1,1,0,0,0,"Auto「人物B…右后方…尽头的门放在画面左侧」；final「儿子娇羞可爱父亲风韵犹存」",high
P014,T2_middle_D06,substantive_rewriting,1,1,1,0,0,"Auto「人物B…右后方…把玻璃放在画面右侧」；final「帅哥冲进来和男主角亲嘴」",high
P016,T2_middle_A04,substantive_rewriting,1,1,1,0,1,"Auto「人物B…右前方…把列车放在画面中部」；final「两个人在互相泼水，波及…第三人」",high
P016,T2_middle_E03,substantive_rewriting,1,1,1,0,1,"Auto「人物A、人物B更靠近画面前方…书架」；final「整个画面都是台阶…形色各异的人」",high
P023,T2_middle_C02,substantive_rewriting,1,1,1,0,0,"Auto「人物B处在另外两个人之间…人物A看向人物B」；final「三个人继续面对面交谈…镜头逐渐靠近女性」",high
P023,T2_middle_A04,substantive_rewriting,1,1,1,0,0,"Auto「人物B…右侧…把列车放在画面中部」；final「在室内！保留窗框的前景」",high
P024,T2_middle_E04,corrective_rewriting,1,1,1,0,1,"Auto「保持适中距离」；final「镜头保持远距离观察」并改为「一个人躺在旧沙发上」",high
P024,T2_middle_A05,corrective_rewriting,1,1,1,0,0,"Auto「人物B看向人物A」「保持适中距离」；final「对方…看着窗外」「从远景切换到女性侧脸」",medium
