expert_id,item_id,participant_id,task_id,stage,comment
expert_01,I002,P013,T3_transfer_D04,T3,只说“交流”，下一镜行为无法落成画面。
expert_01,I019,P016,T3_transfer_D06,T3,仅有人数，没有下一镜事件或构图。
expert_01,I028,P018,T1_early_C03,T1,全是防穿模与保脸约束，没有下一镜行为。
expert_01,I040,P020,T1_early_D02,T1,单词“吵架”，无法形成可执行镜头计划。
expert_01,I049,P013,T3_transfer_E03,T3,关键角色未指认，镜头变化也不具体。
expert_01,I050,P017,T3_transfer_D06,T3,明星入场缺少方位、动作与机位。
expert_01,I056,P007,T1_middle_E01,T1,谁、在何处穿衣睡觉均不明。
expert_01,I092,P013,T2_middle_D05,T2,只要求露出外貌，没有下一镜行为。
expert_01,I099,P014,T2_middle_D03,T2,人物形容词，不是镜头描述。
expert_01,I109,P020,T2_middle_E01,T2,道具姿态罗列，主体与动作关系不清。
expert_01,I116,P004,T2_middle_D05,T2,人数与道具提示，缺少下一镜事件。
expert_02,I028,P018,T1_early_C03,T1,约束原图而非下一镜内容，空间系统说不清。
expert_02,I039,P012,T3_transfer_A05,T3,左右邻座关系可命名，但座椅挪动与坐姿不变略冲突。
expert_02,I053,P009,T2_middle_A05,T2,右后拉开与吧台拿筷两套空间并置，系统可拼但需取舍。
expert_02,I080,P014,T1_early_C02,T1,对坐加第三人旁观可执行，下一年语义不清。
expert_02,I083,P011,T2_middle_D02,T2,镜门对位可命名，正面与侧后方机位互相打架。
expert_03,I002,P013,T3_transfer_D04,T3,交流未说明对象、方式和可见动作，仍需追问原意。
expert_03,I004,P002,T1_early_C02,T1,现有两人画面却写三人扭打，第三人来源不明。
expert_03,I005,P017,T1_early_A03,T1,中弹事件夹杂不够真实的评价，下一镜意图不稳定。
expert_03,I019,P016,T3_transfer_D06,T3,仅有人数性别，构不成可执行的下一镜。
expert_03,I021,P008,T3_transfer_C04,T3,三人场面未标明哪两人面朝大海喊。
expert_03,I025,P014,T1_early_C04,T1,三人场面未标明哪两人亲吻。
expert_03,I028,P018,T1_early_C03,T1,全是防穿模与保脸约束，没有下一镜内容。
expert_03,I035,P013,T1_early_A05,T1,其乐融融聊天是气氛而不是可画动作。
expert_03,I040,P020,T1_early_D02,T1,单字吵架，对象与可见行为都缺。
expert_03,I046,P007,T1_middle_A04,T1,同归于尽未给出可见过程。
expert_03,I049,P013,T3_transfer_E03,T3,关键角色未指定是谁。
expert_03,I050,P017,T3_transfer_D06,T3,大明星来了停留在口号，形象与走位皆空。
expert_03,I056,P007,T1_middle_E01,T1,穿衣原地睡觉与空舞台对不上，原意不清。
expert_03,I092,P013,T2_middle_D05,T2,只要求人物A露脸，没有下一镜事件。
expert_03,I099,P014,T2_middle_D03,T2,只有形容词，没有可拍内容。
expert_03,I109,P020,T2_middle_E01,T2,穿衣拿咖啡拿手机缺少主体与场面。
expert_03,I110,P013,T1_early_C04,T1,会有一些争执是猜测语气，画面不确定。
expert_03,I116,P004,T2_middle_D05,T2,只剩人数和镜子道具，构图事件皆空。
expert_04,I015,P009,T3_transfer_E01,T3,俯拍与从人物视线出发略冲突，但倒影半身构图仍可分镜。
expert_04,I025,P014,T1_early_C04,T1,三人场景未标明哪两人接吻，无法落板。
expert_04,I028,P018,T1_early_C03,T1,只是防穿模与锁脸约束，没有下一镜动作或机位。
expert_04,I053,P009,T2_middle_A05,T2,长椅调度与吧台拿筷并置，机位仍可执行。
expert_04,I061,P012,T1_middle_C04,T1,两处“右侧女士”指代重叠，侧脸前后交叠仍可画。
expert_04,I080,P014,T1_early_C02,T1,按下一秒两人吵架、第三人呆看理解。
expert_04,I083,P011,T2_middle_D02,T2,摄影机“大致正面”与“侧后方”矛盾，空间布局仍清楚。
expert_04,I102,P003,T3_transfer_C03,T3,只有吵架事件，没有谁如何站位或动作幅度。
