item_id,participant_id,comment
I011,P003,仅有镜头前/后的深度称呼，未给出沿栏杆靠边或居中的可重建站位。
I015,P017,人物相对位置、间距、偏侧机位与门的画面位置构成可重建空间系统。
I023,P011,保持原镜头，朝向与向右离开写清，但无侧后方机位。
I029,P001,前后与后脑勺标明谁在谁后，但未拉开间距、也非斜后方。
I033,P009,右后方与间距清楚，机位写成大致正面，与侧后斜看不一致。
I036,P017,右后方加明显拉开距离，庭院空间系统可重建。
I038,P010,人在空舞台上，人–舞台距离与舞台作为场地主体可重建。
I042,P009,过肩与前景分层很具体，但未交代玻璃内外与玻璃遮挡。
I048,P008,离开座位去后方柜子，有位移方向，缺相对长椅一端或间距量。
I057,P018,从走廊最深处走出可重建纵深；机位居中低角，并非沿一侧看向深处。
I073,P010,前后距离与近远镜头构成直线纵深，但指称是马路而非玻璃内外。
I079,P011,门被写成看不见，无法用门框遮挡身体；三人居中站位含糊。
I090,P011,男生在女生后面有参照，缺斜向与拉开间距，且场景换成甲板近景。
I091,P018,背面全景可执行侧向以外的转向，未沿栏杆改站位。
