item_id,participant_id,image_id,image_title,current_visual_state,final_expression
I001,P006,C01,火车站窗边,窗边人物相对靠近，前后层次不够清楚。,"画面中的三个人开心的一起享用桌面上的食物, 其中最左边的男性在吃披萨饼中间紫色衣服的女性在吃方便面最右侧男性在吃烧烤串"
I002,P013,D04,画廊穿过,画廊中有人穿过，前景遮挡物不够明确。,两个人物之间会进行交流
I003,P001,A04,地铁来车,地铁来车，摄影机与车厢的距离和角度较为正面。,两个人扭打在一起
I004,P002,C02,咖啡馆对坐,咖啡馆两人相对而坐，间距和朝向比较对称。,三个人扭打在一起
I005,P017,A03,俯视走廊,走廊被俯视，人物在地面上显得较小。,我觉得他会被一颗子弹穿过头颅，这个子弹应该是正常的子弹，而且只有一颗，还是不够真实
I006,P005,E03,书店门口,书店门口，人物与店面入口的距离和朝向较为固定。,画面中的人全部走下台阶，台阶上空无一人
I007,P001,E04,公园长椅,公园长椅上的人物与周围空地的关系较为贴近。,坐姿状态的人物会拿出尖锐刀具暴力捅向躺在沙发上的人物，躺着的角色会挣扎一会，摔下沙发爬行一会，然后死亡。画面中会有大量血污。
I008,P003,D02,门后身影,门后可见身影，门框遮挡不充分。,右边的人和镜子里的人开始打架
I009,P009,C02,咖啡馆对坐,咖啡馆两人相对而坐，间距和朝向比较对称。,女子表情微怒，眉头微皱，一只手抓住左侧男子下摆，与其拉扯；左侧男子与女子距离拉近；中间的男子左手拉男子右手拉女子试图劝架，身体倾向女子；背景中的男子闻声转头
I010,P003,E05,前后景,前景与后景层次存在，但前后距离不够清楚。,天空中飞出一只异型
I011,P010,D01,柱后半隐,人物被柱子半遮，遮挡程度和前后关系不够明确。,男生将头伸向车窗与女生亲吻告别
I012,P003,E02,轮渡甲板,人物靠在轮渡甲板栏杆一侧，空间沿甲板横向展开。,镜头前这个人跟后面的人魔法对轰
I013,P019,D05,餐桌三人,餐桌三人围坐，间距和前后层次比较平均。,总而言之就是我想表现的是在餐桌里四个人其乐融融的画面，他们都彼此之间有眼神交流，餐桌上面有丰盛的菜肴，画面是温馨的彩色，我需要的是四个外国人，然后画面偏中世纪的那种感觉菜品还有人物的穿着，还有整体的画面质感也是偏复古
I014,P016,C02,咖啡馆对坐,咖啡馆两人相对而坐，间距和朝向比较对称。,两个男人一个女人，一男一女对峙着另一个男人
I015,P009,E01,空剧院,过道深处可见空舞台，人物离舞台较远。,摄像机俯拍，从人物视线出发，人物倒影占画面大部分，人物只留下半身
I016,P007,E05,前后景,前景与后景层次存在，但前后距离不够清楚。,一颗导弹降落炸掉小汽车，注意是导弹降落，不是发射导弹，而且如果已经爆炸了的话应该就看不到导弹了
I017,P001,E05,前后景,前景与后景层次存在，但前后距离不够清楚。,四个人围着一团篝火在聊天，最左边的男的抽烟，第二男的在摘有线耳机，第三个女生在大笑，第四个男的很冷漠的注视镜头。
I018,P002,E03,书店门口,书店门口，人物与店面入口的距离和朝向较为固定。,镜头变成完全俯拍视角
I019,P016,D06,玻璃内外,玻璃内外同时可见人物，内外层次不够清楚。,两男一女
I020,P017,E04,公园长椅,公园长椅上的人物与周围空地的关系较为贴近。,我觉得下一刻，女人会摔门而去，男人会坐起来试图挽留
I021,P008,C04,街角三人,街角三人横向排开，间距比较均匀。,两个人面朝大海大喊
I022,P013,C03,庭院对望,庭院中两人隔空对望，距离和朝向已经成立。,人物B把头扭过来看向A，，人物A姿势不变，镜头聚焦到人物B
I023,P007,D01,柱后半隐,人物被柱子半遮，遮挡程度和前后关系不够明确。,两个人亲亲
I024,P020,A05,长椅分神,长椅上人物分神，摄影机大致正对座位。,男主站起来，拿过来一杯饮料
I025,P014,C04,街角三人,街角三人横向排开，间距比较均匀。,两个人开始亲嘴
I026,P018,D03,走廊走向,走廊中人物走向镜头或深处，构图较居中。,长焦镜头拍摄，一个盛装出席的女人面对镜头从走廊最远处走出来，居中构图，低角度机位
I027,P005,D03,走廊走向,走廊中人物走向镜头或深处，构图较居中。,一个贵妇从侧面的房门中走出
I028,P018,C03,庭院对望,庭院中两人隔空对望，距离和朝向已经成立。,女人身后的车内环境不要错乱穿模，女人的面部和原图保持一致，不要改变人物形象
I029,P005,C02,咖啡馆对坐,咖啡馆两人相对而坐，间距和朝向比较对称。,男人和女人坐上汽车准备开车离开，另一位男士离开画面
I030,P001,C01,火车站窗边,窗边人物相对靠近，前后层次不够清楚。,有一只大鹈鹕飞到桌子上吃他们的食物，三个人都很恐慌逃跑，一个俯视的镜头
I031,P001,D05,餐桌三人,餐桌三人围坐，间距和前后层次比较平均。,后面穿黑色西服的人举枪对着前面人的后脑勺
I032,P017,C04,街角三人,街角三人横向排开，间距比较均匀。,金头发的女孩转过头去
I033,P016,D02,门后身影,门后可见身影，门框遮挡不充分。,黑白的画面，左女右男两个人面对镜头看向镜头后方，中间有个圆形的镜子，上面印着男人的后脑勺
I034,P015,E05,前后景,前景与后景层次存在，但前后距离不够清楚。,怪盗基德出现，准备上车
I035,P013,A05,长椅分神,长椅上人物分神，摄影机大致正对座位。,会其乐融融地聊起日常生活发生的事情
I036,P010,E01,空剧院,过道深处可见空舞台，人物离舞台较远。,主角独自一人在空舞台上练习舞蹈
I037,P015,C02,咖啡馆对坐,咖啡馆两人相对而坐，间距和朝向比较对称。,三名年轻人坐上车出发
I038,P019,C03,庭院对望,庭院中两人隔空对望，距离和朝向已经成立。,一颗子弹郑重前方女司机的眉心女司机张着嘴倒在的驾驶座上，而是他的血飞溅到了后面的男人的脸上那个男人露出了惊恐的表情
I039,P012,A05,长椅分神,长椅上人物分神，摄影机大致正对座位。,左侧的女士站起，手撑桌子，右侧男士仍坐在女士右侧的第一个紧邻座位，座椅向右侧挪动，保持坐姿和座椅不变。环境不发生变化
I040,P020,D02,门后身影,门后可见身影，门框遮挡不充分。,吵架
I041,P016,E03,书店门口,书店门口，人物与店面入口的距离和朝向较为固定。,整个画面都是台阶，上面稀稀疏疏的站着形色各异的人
I042,P010,E04,公园长椅,公园长椅上的人物与周围空地的关系较为贴近。,画面中两个人在交谈，一些比较轻松随意的聊天
I043,P006,D05,餐桌三人,餐桌三人围坐，间距和前后层次比较平均。,擦镜子的人保持擦镜子的动作不变，回头与身后的人交流镜子中呈现的是擦镜子的人的后脑勺
I044,P007,D02,门后身影,门后可见身影，门框遮挡不充分。,镜子里的穿浴袍的人攻击镜子前这对男女，这对男女躲避子弹但失败了，双双倒地，镜子里只露出了男女的腿，但能证明他们已经中枪倒地，镜子前没有了两人的身影
I045,P009,D06,玻璃内外,玻璃内外同时可见人物，内外层次不够清楚。,摄影机在接近视线高度、位于画面左侧，从左侧穿棕色皮衣女子的背后拍摄，采用过肩镜头，人物在画面两侧。一辆汽车停在众人面前，车灯微微开启，散发出柔和暖黄光，照亮了前景人物轮廓。前景展示棕色皮衣女子和黑色西装男子背影，车后不要有人物出现。
I046,P007,A04,地铁来车,地铁来车，摄影机与车厢的距离和角度较为正面。,三个人同归于尽吧
I047,P012,D03,走廊走向,走廊中人物走向镜头或深处，构图较居中。,画面右侧距离摄像机近距离出现半个背影，是一位着华丽欧式复古长裙的女士，自然松散地盘发，背对镜头，只露出半个身影
I048,P005,E02,轮渡甲板,人物靠在轮渡甲板栏杆一侧，空间沿甲板横向展开。,男人转身向身后的两人走去
I049,P013,E03,书店门口,书店门口，人物与店面入口的距离和朝向较为固定。,镜头聚焦到一个关键角色上
I050,P017,D06,玻璃内外,玻璃内外同时可见人物，内外层次不够清楚。,万众瞩目的大明星来了
I051,P014,E03,书店门口,书店门口，人物与店面入口的距离和朝向较为固定。,所有人全部飞上天 都很惊恐 不要飞向我 往天上飞啊 大哥
I052,P016,A04,地铁来车,地铁来车，摄影机与车厢的距离和角度较为正面。,两个人在互相泼水，波及到了不远的第三人
