expert_id,expert_slug,item_id,participant_id,task_id,stage,comment
expert_01,xinxiangyang,I001,P014,T3_transfer_E02,T3,只写跳芭蕾，未标明相对栏杆的站位或侧向机位。
expert_01,xinxiangyang,I006,P001,T1_early_E04,T1,离座挣扎有空间位移，但未对长椅一端或斜向机位。
expert_01,xinxiangyang,I011,P003,T1_early_E02,T1,“镜头前/后面的人”有前后，但栏杆靠边/居中与侧向甲板未写清。
expert_01,xinxiangyang,I015,P017,T2_middle_D03,T2,A-B右前方与侧后机位可重建；走廊靠一侧或更深处仍不够贴。
expert_01,xinxiangyang,I017,P002,T3_transfer_E03,T3,俯拍清楚，但未写相对门口远近或入口在人物前/侧。
expert_01,xinxiangyang,I023,P011,T3_transfer_A05,T3,明确保持原机位，故侧后方未表达；女生看向男生背影、男生向右走可部分重建朝向。
expert_01,xinxiangyang,I024,P002,T1_middle_C04,T1,转头侧脸是朝向变化，不是拉开右侧人物或放到斜后方。
expert_01,xinxiangyang,I026,P018,T2_middle_A05,T2,俯拍头顶与侧后方斜看长椅、视线离开镜头都不是同一关系。
expert_01,xinxiangyang,I029,P001,T3_transfer_D05,T3,点明谁在谁后面举枪，但斜后方、拉开与另外两人的三角关系未写完。
expert_01,xinxiangyang,I030,P009,T1_early_C02,T1,写的是距离拉近与拉扯劝架，与拉开桌距或侧对相反/不完整。
expert_01,xinxiangyang,I033,P009,T2_middle_A05,T2,机位写成大致正面而非侧后方；背对吧台与对视为朝向，未明确离开镜头看向另一侧。
expert_01,xinxiangyang,I036,P017,T2_middle_C03,T2,右后方、拉开间距与侧后低机位可重建谁相对谁。
expert_01,xinxiangyang,I038,P010,T2_middle_E01,T2,人在空舞台上跳舞，拉近舞台并让舞台成为场地，幅度与构图主体仍可更精确。
expert_01,xinxiangyang,I042,P009,T3_transfer_D06,T3,过肩、车灯与背影很具体，但未区分玻璃内外或用玻璃分层。
expert_01,xinxiangyang,I046,P013,T2_middle_C03,T2,B转头看A是对望加强，不是加大庭院距离或转到斜后方。
expert_01,xinxiangyang,I057,P018,T2_middle_D03,T2,从走廊最远处走出可对应更靠深处，但居中低角度不是略偏一侧看向深处。
expert_01,xinxiangyang,I060,P009,T3_transfer_E01,T3,俯拍倒影具体，未拉近空舞台或让舞台成主体。
expert_01,xinxiangyang,I073,P010,T2_middle_D06,T2,前后追逐与直线距离可重建，但不是玻璃内/外分层。
expert_01,xinxiangyang,I077,P011,T1_early_C03,T1,转头对视，与拉开距离、转到斜后方相反。
expert_01,xinxiangyang,I079,P011,T2_middle_D02,T2,机位具体，但写了看不到门，未用门框遮挡或把人放门后更深处。
expert_01,xinxiangyang,I081,P010,T1_early_C04,T1,一人离开同伴拉开了距离，但两人都正对镜头，不是斜后方。
expert_01,xinxiangyang,I085,P006,T3_transfer_D06,T3,点明前后景却说排布不变，未用玻璃作前景遮挡。
expert_01,xinxiangyang,I087,P004,T1_early_C03,T1,画面对角与无对视可重建关系，庭院距离是在缩小而非加大。
expert_01,xinxiangyang,I090,P011,T2_middle_C04,T2,男生在女生后面相当于“A在B后”，缺斜向与第三人间距。
expert_01,xinxiangyang,I097,P009,T2_middle_C04,T2,背影与侧后机位清楚，但未把右侧人物移到另外两人斜后方。
expert_01,xinxiangyang,I100,P004,T3_transfer_A04,T3,窗框左右对站具体，不是月台斜向来车或相对车门站位。
