expert_id,expert_slug,item_id,participant_id,task_id,stage,block,image_id,interpretability,spatial_specificity,temporal_action_specificity,executability,overall_precision,reconstructable
expert_01,xinxiangyang,I001,P006,T1_early_C01,T1,early,C01,6,6,5,6,6,1
expert_01,xinxiangyang,I002,P013,T3_transfer_D04,T3,transfer,D04,3,2,3,2,3,0
expert_01,xinxiangyang,I003,P001,T2_middle_A04,T2,middle,A04,5,3,5,4,4,1
expert_01,xinxiangyang,I004,P002,T1_early_C02,T1,early,C02,5,3,5,4,4,1
expert_01,xinxiangyang,I005,P017,T1_early_A03,T1,early,A03,5,3,5,4,4,1
expert_01,xinxiangyang,I006,P005,T1_middle_E03,T1,middle,E03,6,5,6,6,6,1
expert_01,xinxiangyang,I007,P001,T1_early_E04,T1,early,E04,7,6,7,6,6,1
expert_01,xinxiangyang,I008,P003,T1_early_D02,T1,early,D02,6,5,6,5,5,1
expert_01,xinxiangyang,I009,P009,T1_early_C02,T1,early,C02,7,7,7,7,7,1
expert_01,xinxiangyang,I010,P003,T3_transfer_E05,T3,transfer,E05,5,4,5,4,4,1
expert_01,xinxiangyang,I011,P010,T3_transfer_D01,T3,transfer,D01,6,5,6,6,6,1
expert_01,xinxiangyang,I012,P003,T1_early_E02,T1,early,E02,6,5,6,5,5,1
expert_01,xinxiangyang,I013,P019,T2_middle_D05,T2,middle,D05,5,4,3,4,4,1
expert_01,xinxiangyang,I014,P016,T3_transfer_C02,T3,transfer,C02,5,5,4,5,5,1
expert_01,xinxiangyang,I015,P009,T3_transfer_E01,T3,transfer,E01,7,6,4,6,6,1
expert_01,xinxiangyang,I016,P007,T3_transfer_E05,T3,transfer,E05,6,5,6,6,6,1
expert_01,xinxiangyang,I017,P001,T2_middle_E05,T2,middle,E05,7,6,6,6,6,1
expert_01,xinxiangyang,I018,P002,T3_transfer_E03,T3,transfer,E03,6,4,4,6,5,1
expert_01,xinxiangyang,I019,P016,T3_transfer_D06,T3,transfer,D06,2,2,1,2,2,0
expert_01,xinxiangyang,I020,P017,T1_early_E04,T1,early,E04,6,4,6,5,6,1
expert_01,xinxiangyang,I021,P008,T3_transfer_C04,T3,transfer,C04,5,4,5,5,5,1
expert_01,xinxiangyang,I022,P013,T2_middle_C03,T2,middle,C03,7,6,7,6,6,1
expert_01,xinxiangyang,I023,P007,T1_early_D01,T1,early,D01,5,2,5,4,4,1
expert_01,xinxiangyang,I024,P020,T2_middle_A05,T2,middle,A05,6,3,6,5,5,1
expert_01,xinxiangyang,I025,P014,T1_early_C04,T1,early,C04,5,2,5,4,4,1
expert_01,xinxiangyang,I026,P018,T2_middle_D03,T2,middle,D03,7,7,6,7,7,1
expert_01,xinxiangyang,I027,P005,T1_early_D03,T1,early,D03,6,5,6,5,5,1
expert_01,xinxiangyang,I028,P018,T1_early_C03,T1,early,C03,2,2,1,2,2,0
expert_01,xinxiangyang,I029,P005,T3_transfer_C02,T3,transfer,C02,6,5,6,6,6,1
expert_01,xinxiangyang,I030,P001,T3_transfer_C01,T3,transfer,C01,7,5,7,6,6,1
expert_01,xinxiangyang,I031,P001,T3_transfer_D05,T3,transfer,D05,7,6,6,6,6,1
expert_01,xinxiangyang,I032,P017,T3_transfer_C04,T3,transfer,C04,6,4,6,5,5,1
expert_01,xinxiangyang,I033,P016,T1_early_D02,T1,early,D02,7,7,3,6,6,1
expert_01,xinxiangyang,I034,P015,T1_early_E05,T1,early,E05,5,3,5,4,4,1
expert_01,xinxiangyang,I035,P013,T1_early_A05,T1,early,A05,4,2,4,3,3,0
expert_01,xinxiangyang,I036,P010,T2_middle_E01,T2,middle,E01,6,5,5,5,5,1
expert_01,xinxiangyang,I037,P015,T3_transfer_C02,T3,transfer,C02,5,3,5,5,5,1
expert_01,xinxiangyang,I038,P019,T3_transfer_C03,T3,transfer,C03,6,6,6,5,5,1
expert_01,xinxiangyang,I039,P012,T3_transfer_A05,T3,transfer,A05,7,7,6,6,6,1
expert_01,xinxiangyang,I040,P020,T1_early_D02,T1,early,D02,3,1,3,2,2,0
expert_01,xinxiangyang,I041,P016,T2_middle_E03,T2,middle,E03,5,5,3,4,4,1
expert_01,xinxiangyang,I042,P010,T1_early_E04,T1,early,E04,4,2,4,3,3,0
expert_01,xinxiangyang,I043,P006,T3_transfer_D05,T3,transfer,D05,7,6,6,6,6,1
expert_01,xinxiangyang,I044,P007,T1_early_D02,T1,early,D02,6,6,7,6,6,1
expert_01,xinxiangyang,I045,P009,T3_transfer_D06,T3,transfer,D06,7,7,5,7,7,1
expert_01,xinxiangyang,I046,P007,T1_middle_A04,T1,middle,A04,3,1,3,2,3,0
expert_01,xinxiangyang,I047,P012,T1_early_D03,T1,early,D03,7,7,3,6,6,1
expert_01,xinxiangyang,I048,P005,T1_early_E02,T1,early,E02,6,6,7,6,6,1
expert_01,xinxiangyang,I049,P013,T3_transfer_E03,T3,transfer,E03,3,2,3,2,3,0
expert_01,xinxiangyang,I050,P017,T3_transfer_D06,T3,transfer,D06,3,2,4,2,3,0
expert_01,xinxiangyang,I051,P014,T3_transfer_E03,T3,transfer,E03,5,4,6,5,5,1
expert_01,xinxiangyang,I052,P016,T2_middle_A04,T2,middle,A04,6,4,6,5,5,1
expert_01,xinxiangyang,I053,P009,T2_middle_A05,T2,middle,A05,7,7,5,6,6,1
expert_01,xinxiangyang,I054,P011,T3_transfer_A05,T3,transfer,A05,6,6,6,6,6,1
expert_01,xinxiangyang,I055,P015,T1_middle_D05,T1,middle,D05,6,4,5,5,5,1
expert_01,xinxiangyang,I056,P007,T1_middle_E01,T1,middle,E01,3,2,4,3,3,0
expert_01,xinxiangyang,I057,P014,T2_middle_D06,T2,middle,D06,5,3,6,4,4,1
expert_01,xinxiangyang,I058,P008,T1_early_D04,T1,early,D04,6,5,6,6,6,1
expert_01,xinxiangyang,I059,P018,T1_early_A02,T1,early,A02,7,5,4,6,6,1
expert_01,xinxiangyang,I060,P006,T1_early_C03,T1,early,C03,6,5,7,6,6,1
expert_01,xinxiangyang,I061,P012,T1_middle_C04,T1,middle,C04,7,7,6,6,7,1
