packet,typed_id,group,group_name,pattern,seq_ver,export_ready,formal_efficacy,complete7,n_ended,gen_ok,gen_n,gen_fail,concurrent_fail,generation_recovery,t2_loop_ok,p_norm_present,started_at,notes
P001,P001,1,scaffold,C,formal-between-v2,True,True,True,7,12,15,3,3,0,True,False,2026-09-09T08:29:37.101Z,concurrent_fail=3
P002,P001,0,control,C,formal-between-v2,True,True,True,7,7,11,4,2,0,True,False,2026-09-09T08:30:16.304Z,concurrent_fail=2
P003,P001,1,scaffold,C,formal-between-v2,False,False,True,7,8,8,0,0,1,True,False,2026-09-09T13:02:37.005Z,flags:timing_complete;issues:timing_complete;generation_recovery=1
P004,P004,1,scaffold,B,formal-between-v1,True,False,True,7,6,6,0,0,0,True,False,2026-09-09T02:53:59.262Z,missing_validation;protocol_formal-between-v1;t0_has_targets
P005,Releac,0,control,A,formal-between-v2,True,True,True,7,9,9,0,0,0,True,False,2026-09-09T13:27:29.266Z,
P006,唧唧1,0,control,C,formal-between-v2,True,True,True,7,9,9,0,0,0,True,False,2026-09-09T15:13:40.960Z,
P007,P007,0,control,A,formal-between-v2,True,True,True,7,10,11,1,1,0,True,False,2026-09-09T08:51:57.983Z,concurrent_fail=1
P008,mty,0,control,C,formal-between-v2,True,True,True,7,7,8,1,1,0,True,False,2026-09-09T15:03:00.828Z,concurrent_fail=1
P009,oclock,1,scaffold,B,formal-between-v2,True,True,True,7,13,17,4,4,0,True,False,2026-09-09T08:11:00.923Z,concurrent_fail=4
P010,P001,1,scaffold,C,formal-between-v2,True,True,True,7,11,11,0,0,0,True,False,2026-09-09T10:41:43.887Z,
P011,P001,1,scaffold,B,formal-between-v2,True,True,True,7,16,19,3,3,0,True,False,2026-09-09T08:11:07.826Z,concurrent_fail=3
P012,P001,0,control,B,formal-between-v2,True,True,True,7,11,11,0,0,0,True,False,2026-09-10T14:03:30.452Z,
P013,P001,1,scaffold,C,formal-between-v2,True,True,True,7,9,9,0,0,0,True,False,2026-09-10T02:15:12.091Z,
P014,P001,1,scaffold,C,formal-between-v2,True,True,True,7,8,8,0,0,0,True,False,2026-09-10T06:13:25.608Z,
P015,P001,0,control,B,formal-between-v2,True,True,True,7,7,7,0,0,0,True,False,2026-09-10T07:32:02.731Z,
P016,P088,1,scaffold,B,formal-between-v2,True,True,True,7,8,9,1,1,0,True,False,2026-09-10T07:39:44.387Z,concurrent_fail=1
P017,P5555,1,scaffold,B,formal-between-v2,False,False,True,7,10,10,0,0,1,True,False,2026-09-10T08:17:58.623Z,flags:timing_complete;issues:timing_complete;generation_recovery=1
P018,P001,1,scaffold,B,formal-between-v2,False,False,True,7,11,11,0,0,0,True,False,2026-09-10T11:59:44.958Z,flags:timing_complete;issues:timing_complete
P019,P001,1,scaffold,B,formal-between-v2,False,False,False,6,8,8,0,0,0,True,False,2026-09-10T13:10:00.883Z,issues:task_unfinished;unfinished:T2
P020,P002,1,scaffold,A,formal-between-v2,False,False,False,5,13,13,0,0,0,True,False,2026-09-10T12:55:16.310Z,"issues:task_unfinished,task_unfinished;unfinished:T2+T2"
