item_id,participant_id,comment
I001,P014,只写跳芭蕾，未标明相对栏杆的站位或侧向机位。
I006,P001,离座挣扎有空间位移，但未对长椅一端或斜向机位。
I011,P003,“镜头前/后面的人”有前后，但栏杆靠边/居中与侧向甲板未写清。
I015,P017,A-B右前方与侧后机位可重建；走廊靠一侧或更深处仍不够贴。
I017,P002,俯拍清楚，但未写相对门口远近或入口在人物前/侧。
I023,P011,明确保持原机位，故侧后方未表达；女生看向男生背影、男生向右走可部分重建朝向。
I024,P002,转头侧脸是朝向变化，不是拉开右侧人物或放到斜后方。
I026,P018,俯拍头顶与侧后方斜看长椅、视线离开镜头都不是同一关系。
I029,P001,点明谁在谁后面举枪，但斜后方、拉开与另外两人的三角关系未写完。
I030,P009,写的是距离拉近与拉扯劝架，与拉开桌距或侧对相反/不完整。
I033,P009,机位写成大致正面而非侧后方；背对吧台与对视为朝向，未明确离开镜头看向另一侧。
I036,P017,右后方、拉开间距与侧后低机位可重建谁相对谁。
I038,P010,人在空舞台上跳舞，拉近舞台并让舞台成为场地，幅度与构图主体仍可更精确。
I042,P009,过肩、车灯与背影很具体，但未区分玻璃内外或用玻璃分层。
I046,P013,B转头看A是对望加强，不是加大庭院距离或转到斜后方。
I057,P018,从走廊最远处走出可对应更靠深处，但居中低角度不是略偏一侧看向深处。
I060,P009,俯拍倒影具体，未拉近空舞台或让舞台成主体。
I073,P010,前后追逐与直线距离可重建，但不是玻璃内/外分层。
I077,P011,转头对视，与拉开距离、转到斜后方相反。
I079,P011,机位具体，但写了看不到门，未用门框遮挡或把人放门后更深处。
I081,P010,一人离开同伴拉开了距离，但两人都正对镜头，不是斜后方。
I085,P006,点明前后景却说排布不变，未用玻璃作前景遮挡。
I087,P004,画面对角与无对视可重建关系，庭院距离是在缩小而非加大。
I090,P011,男生在女生后面相当于“A在B后”，缺斜向与第三人间距。
I097,P009,背影与侧后机位清楚，但未把右侧人物移到另外两人斜后方。
I100,P004,窗框左右对站具体，不是月台斜向来车或相对车门站位。
I101,P004,远景左右分区清楚，未降低仰拍机位或改人物在楼梯上的高低。
I113,P003,追逐暗示女人在镜头前男人身后，机位侧后未写。
