participant_id,group,task_id,stage,block,image_id,round,task_ended,final_text
P001,Scaffold,T1_early_E04,T1,early,E04,1,1,坐姿状态的人物会拿出尖锐刀具暴力捅向躺在沙发上的人物，躺着的角色会挣扎一会，摔下沙发爬行一会，然后死亡。画面中会有大量血污。
P001,Scaffold,T1_early_D03,T1,early,D03,2,1,有一位盛装打扮的少女，穿白色的的巴洛克风格连衣裙，头戴皇冠。在走廊上奔跑，并且枪杀了右边换右边画面男人
P001,Scaffold,T2_middle_E05,T2,middle,E05,6,1,四个人围着一团篝火在聊天，最左边的男的抽烟，第二男的在摘有线耳机，第三个女生在大笑，第四个男的很冷漠的注视镜头。
P001,Scaffold,T2_middle_A04,T2,middle,A04,2,1,两个人扭打在一起
P001,Scaffold,T3_transfer_C01,T3,transfer,C01,3,1,有一只大鹈鹕飞到桌子上吃他们的食物，三个人都很恐慌逃跑，一个俯视的镜头
P001,Scaffold,T3_transfer_D05,T3,transfer,D05,1,1,后面穿黑色西服的人举枪对着前面人的后脑勺
P002,Control,T1_early_C02,T1,early,C02,1,1,三个人扭打在一起
P002,Control,T1_early_E05,T1,early,E05,3,1,一颗导弹砸在汽车上发生爆炸，不是火箭
P002,Control,T1_middle_C04,T1,middle,C04,4,1,面朝镜头的人把头转过去，面朝照片左边，露出侧脸，背对镜头的人不变
P002,Control,T1_middle_D04,T1,middle,D04,1,1,狗站在了桌子上，男人向后仰，看着狗，女人也看着狗，其他不变
P002,Control,T3_transfer_E03,T3,transfer,E03,1,1,镜头变成完全俯拍视角
P002,Control,T3_transfer_A01,T3,transfer,A01,1,1,人物消失，狗向镜头方向跑过来
P004,Scaffold,T1_early_C03,T1,early,C03,1,1,特写镜头，人物占据画面中较大部分，右下与左上的位置关系形成对立，情绪紧张矛盾，画面空间狭小闭塞，人物之间没有眼神交流都在沉默，仿佛下一秒就会迎来争吵。
P004,Scaffold,T1_early_E01,T1,early,E01,1,1,全黑的虚构室内环境，充满压抑感，远景镜头，只有一个人物全身出现在画面中心偏右的位置，水平中心线，下半图是人物的半身倒影，整体画面有点恐怖阴暗
P004,Scaffold,T2_middle_D05,T2,middle,D05,1,1,画面中只有两个人物，主要道具是镜子
