item_id,participant_id,comment
I015,P017,站位写人物相对右前方并拉开距离，走廊靠一侧/深处只部分可对上；机位高度/左右/距离/侧后方写全。
I023,P011,写明保持原镜头视角，侧后方机位未出现；视线看向背影、人向右走。
I029,P001,前后关系有，斜后方与相对另外两人的距离指代不清。
I033,P009,机位写成大致正面，与侧后方观察不一致。
I036,P017,右后方加拉开距离可重建人物关系；庭院距离缺少远近尺度。
I042,P009,过肩与前景分层清楚，玻璃内/外未写。
I049,P011,离开座位走到画面左边，不是放到椅子更一端。
I057,P018,人从走廊最远处出来对上深处；居中低角度不是从一侧略偏看进去。
I073,P010,前后距离清楚，分层物不是玻璃。
I079,P011,写看不到门，与门框遮挡/门后更深相反。
I090,P011,男生在女生后面可执行前后关系，不是右侧一人相对另外两人。
I097,P009,侧后方写的是摄影机，不是人物斜后方。
I113,P003,追逐暗示前后与距离，A/B与侧后方机位都未点名。
